"CTHRC1"
"POSTN"
"THBS2"
"COL1A1"
"USP2"
"VCAN"
"GDF15"
"BGN"
"PCK2"
"ADAMDEC1"
"FN1"
"SLC36A1"
"MYOF"
"OAT"
"CHN2"
"COL1A2"
"SLC2A1"
"GUCA2A"
"SOWAHA"
"ISLR"
"TIMP1"
"TGIF1"
"SULF1"
"MOGAT2"
"ANPEP"
"LRRC15"
"PKLR"
"NEUROD1"
"PTGR1"
"MAF"
"ASPA"
"ADAMTS2"
"ERICH4"
"ACY1"
"ABHD14A-ACY1"
"SLC5A1"
"RTN4"
"SLC2A5"
"NEU4"
"ALDH1A1"
"DBNDD1"
"IER3"
"FBP1"
"PLAUR"
"IER5L"
"DHRS11"
"APOC1"
"AGRN"
"COL12A1"
"C2orf88"
"CYP2C19"
"LAMC2"
"KHK"
"SLC7A7"
"MIR614"
"SOAT2"
"SLC25A34"
"CBR1"
"ACE"
"SRPX2"
"MT1G"
"MPP1"
"AQP7"
"ENPEP"
"GDA"
"PTPRU"
"ACSL5"
"BMP5"
"KCNJ13"
"CES2"
"GBA3"
"CDHR2"
"SULT1E1"
"ASPHD1"
"PBLD"
"GCNT2"
"SLC1A7"
"TMT1A"
"CRABP2"
"OSGIN1"
"DEFA5"
"MOCS1"
"FNDC1"
"LYVE1"
"SULT1A3"
"SULT1A4"
"SLX1A-SULT1A3"
"SLX1B-SULT1A4"
"JAML"
"SMAGP"
"TNXA"
"TNXB"
"MC5R"
"SULF2"
"SULT1B1"
"CFD"
"PRSS2"
"FOXA2"
"UGT1A3"
"GK"
"PAK1IP1"
"CIDEB"
"NOP2"
"XDH"
"SPIB"
"EPB41L3"
"FLVCR2"
"RBKS"
"CCL5"
"PLAU"
"PLCG2"
"NPM3"
"ALDOB"
"DHDH"
"WDR49"
"PRAP1"
"ZSWIM4"
"SPON2"
"IRAG2"
"LINC00092"
"PTPRH"
"PODXL"
"SLC13A2"
"PLCD3"
"PLS3"
"APOBEC1"
"CXCL14"
"CYP2J2"
"CRYL1"
"FCGBP"
"APBB2"
"LRRC20"
"SGK1"
"MYO1A"
"CPS1"
"SLC30A4"
"NUPR1"
"MANEAL"
"ETV4"
"ANO10"
"CYTIP"
"HK2"
"CD276"
"EPS8L1"
